id,performed_move_id,t1_millis,t2_millis,t3_millis,question_one,question_two,question_three,session_id
101,14005,1664875566851,1664875576597,1664875603441,1,1,2,11065
165,14070,1664880668614,1664880680207,1664880684447,1,1,1,11074
164,14069,1664880612538,1664880628858,1664880647730,1,1,1,11074
163,14068,1664880550916,1664880564606,1664880588972,1,2,2,11074
162,14067,1664880495021,1664880505860,1664880521349,1,1,1,11074
161,14066,1664880455904,1664880459973,1664880469320,0,1,1,11074
160,14065,1664880402738,1664880417185,1664880431420,1,1,1,11074
159,14064,1664880360284,1664880364293,1664880379792,1,1,1,11074
158,14063,1664880310603,1664880325460,1664880338556,2,2,2,11074
157,14062,1664880260904,1664880281458,1664880288726,2,1,1,11074
156,14061,1664880208072,1664880229679,1664880239496,1,2,2,11074
155,14060,1664880170040,1664880180218,1664880190179,1,1,1,11074
154,14059,1664880134324,1664880138905,1664880145911,1,1,1,11074
153,14059,1664880084829,1664880102956,1664880124252,0,1,2,11074
152,14057,1664880028768,1664880042058,1664880065822,1,0,2,11074
151,14056,1664879973177,1664879983485,1664880009523,1,1,1,11074
150,14055,1664879910340,1664879932230,1664879951889,0,0,0,11074
149,14054,1664879863694,1664879868267,1664879873810,0,1,1,11074
148,14053,1664879833195,1664879839908,1664879854535,1,2,2,11074
147,14052,1664879793431,1664879803684,1664879810261,0,1,1,11074
146,14051,1664879745124,1664879762707,1664879768810,0,1,1,11074
145,14050,1664879731581,1664879701861,1664879738642,1,1,1,11074
144,14049,1664879697288,1664879701861,1664879705906,1,1,1,11074
143,14048,1664879672987,1664879678005,1664879690679,1,1,1,11074
142,14047,1664879623242,1664879635516,1664879656334,1,2,2,11074
141,14046,1664879581326,1664879593957,1664879600953,1,1,1,11074
140,14045,1664879536428,1664879549934,1664879555576,1,1,1,11074
139,14044,1664879504940,1664879510424,1664879521771,1,1,1,11074
138,14044,1664879471290,1664879486600,1664879493945,2,2,2,11074
137,14042,1664879437839,1664879450974,1664879457340,1,2,1,11074
136,14041,1664879395525,1664879413655,1664879425527,2,2,2,11074
135,14040,1664879335654,1664879352624,1664879380200,1,2,2,11074
134,14039,1664879297981,1664879317023,1664879323267,0,0,1,11074
133,14039,1664879238288,1664879251351,1664879282401,1,2,2,11074
222,14130,1664927887683,1664927892261,1664927898460,1,1,1,11110
221,14129,1664927858701,1664927869978,1664927879206,1,1,1,11110
220,14128,1664927795806,1664927817213,1664927840032,1,1,2,11110
219,14127,1664927741712,1664927758776,1664927771698,2,2,2,11110
218,14126,1664927675243,1664927686279,1664927711334,1,1,2,11110
217,14125,1664927630773,1664927652246,1664927658706,1,1,2,11110
